id,text,date,amount,merchant,category,sub_category,direction
214,POS 14/09/2025 Dominos Pizza - INR 974. Bal: Rs. 1976549,14/09/2025,974.0,Dominos,Food,Dining,Debit
215,Electricity Bill Payment of Rs 626 successful via PhonePe,--,626.0,Phonepe,Bills,Electricity,Debit
216,Your account credited with Rs. 50703 cashback from Flipkart,--,50703.0,Flipkart,Income,Cashback,Credit
217,INR 1147 withdrawn from ATM at HDFC Bank on 11/09/2025,11/09/2025,1147.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
218,Rs. 4360 spent at Amazon on 08/09/2025. Avl Bal: Rs. 2021119,08/09/2025,4360.0,Amazon,Shopping,E-commerce,Debit
219,POS 15/09/2025 Myntra Purchase - INR 1772. Avl Bal: Rs. 2019347,15/09/2025,1772.0,Myntra,Shopping,Fashion,Debit
220,Rs. 3932 debited at Zomato on 12/09/2025. Bal: Rs. 2015415,12/09/2025,3932.0,Zomato,Food,Dining,Debit
221,Rs. 2759 spent at Amazon on 08/09/2025. Avl Bal: Rs. 2012656,08/09/2025,2759.0,Amazon,Shopping,E-commerce,Debit
222,INR 4153 withdrawn from ATM at HDFC Bank on 23/09/2025,23/09/2025,4153.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
223,INR 4902 withdrawn from ATM at HDFC Bank on 05/09/2025,05/09/2025,4902.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
224,POS 24/09/2025 Dominos Pizza - INR 3821. Bal: Rs. 1999780,24/09/2025,3821.0,Dominos,Food,Dining,Debit
225,INR 2707 withdrawn from ATM at HDFC Bank on 04/09/2025,04/09/2025,2707.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
226,POS 03/09/2025 Myntra Purchase - INR 3112. Avl Bal: Rs. 1993961,03/09/2025,3112.0,Myntra,Shopping,Fashion,Debit
227,POS 06/09/2025 Dominos Pizza - INR 330. Bal: Rs. 1993631,06/09/2025,330.0,Dominos,Food,Dining,Debit
228,POS 27/09/2025 Dominos Pizza - INR 3767. Bal: Rs. 1989864,27/09/2025,3767.0,Dominos,Food,Dining,Debit
229,Electricity Bill Payment of Rs 1191 successful via PhonePe,--,1191.0,Phonepe,Bills,Electricity,Debit
230,POS 23/09/2025 Dominos Pizza - INR 1839. Bal: Rs. 1986834,23/09/2025,1839.0,Dominos,Food,Dining,Debit
231,Rs. 4262 spent at Amazon on 06/09/2025. Avl Bal: Rs. 1982572,06/09/2025,4262.0,Amazon,Shopping,E-commerce,Debit
232,Payment of Rs 2089 made to Uber on 18/09/2025 via GPay,18/09/2025,2089.0,Uber,Transport,Ride Sharing,Debit
233,UPI/GooglePay credited Rs 43403 from Rahul on 05/09/2025,05/09/2025,43403.0,Googlepay,UPI,UPI Payment,Credit
234,Rs. 3029 spent at Amazon on 26/09/2025. Avl Bal: Rs. 2020857,26/09/2025,3029.0,Amazon,Shopping,E-commerce,Debit
235,Rs. 4845 spent at Amazon on 11/09/2025. Avl Bal: Rs. 2016012,11/09/2025,4845.0,Amazon,Shopping,E-commerce,Debit
236,Electricity Bill Payment of Rs 3693 successful via PhonePe,--,3693.0,Phonepe,Bills,Electricity,Debit
237,NEFT/ICIC0001234/Transfer Received of INR 14624 on 26/09/2025,26/09/2025,14624.0,Neft,Income,NEFT Transfer,Credit
238,Rs. 668 spent at Amazon on 05/09/2025. Avl Bal: Rs. 2026275,05/09/2025,668.0,Amazon,Shopping,E-commerce,Debit
239,Rs. 1207 debited at Zomato on 02/09/2025. Bal: Rs. 2025068,02/09/2025,1207.0,Zomato,Food,Dining,Debit
240,Payment of Rs 4055 made to Uber on 15/09/2025 via GPay,15/09/2025,4055.0,Uber,Transport,Ride Sharing,Debit
241,INR 689 withdrawn from ATM at HDFC Bank on 08/09/2025,08/09/2025,689.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
242,Rs. 1055 spent at Amazon on 07/09/2025. Avl Bal: Rs. 2019269,07/09/2025,1055.0,Amazon,Shopping,E-commerce,Debit
243,Your a/c XXXXX1234 credited with INR 30117 via NEFT on 27/09/2025,27/09/2025,30117.0,Neft,Income,NEFT Transfer,Credit
244,Rs. 3808 debited at Zomato on 25/09/2025. Bal: Rs. 2045578,25/09/2025,3808.0,Zomato,Food,Dining,Debit
245,Rs. 4135 debited at Zomato on 28/09/2025. Bal: Rs. 2041443,28/09/2025,4135.0,Zomato,Food,Dining,Debit
246,NEFT/ICIC0001234/Transfer Received of INR 23397 on 22/09/2025,22/09/2025,23397.0,Neft,Income,NEFT Transfer,Credit
247,UPI/GooglePay credited Rs 53334 from Rahul on 21/09/2025,21/09/2025,53334.0,Googlepay,UPI,UPI Payment,Credit
248,UPI payment of Rs 445 to PAYTM successful on 08/09/2025,08/09/2025,445.0,Paytm,UPI,UPI Payment,Debit
249,POS 30/09/2025 Dominos Pizza - INR 1478. Bal: Rs. 2116251,30/09/2025,1478.0,Dominos,Food,Dining,Debit
250,UPI payment of Rs 4226 to PAYTM successful on 04/09/2025,04/09/2025,4226.0,Paytm,UPI,UPI Payment,Debit
251,Rs 2007 debited towards Rent Payment on 30/09/2025,30/09/2025,2007.0,Landlord,Bills,Rent,Debit
252,UPI/GooglePay credited Rs 41891 from Rahul on 14/09/2025,14/09/2025,41891.0,Googlepay,UPI,UPI Payment,Credit
253,POS 19/09/2025 Myntra Purchase - INR 4809. Avl Bal: Rs. 2147100,19/09/2025,4809.0,Myntra,Shopping,Fashion,Debit
254,UPI payment of Rs 1624 to PAYTM successful on 03/09/2025,03/09/2025,1624.0,Paytm,UPI,UPI Payment,Debit
255,POS 13/09/2025 Dominos Pizza - INR 3929. Bal: Rs. 2141547,13/09/2025,3929.0,Dominos,Food,Dining,Debit
256,POS 12/09/2025 Dominos Pizza - INR 1953. Bal: Rs. 2139594,12/09/2025,1953.0,Dominos,Food,Dining,Debit
257,Your a/c XXXXX1234 credited with INR 58976 via NEFT on 29/09/2025,29/09/2025,58976.0,Neft,Income,NEFT Transfer,Credit
258,UPI/GooglePay credited Rs 38999 from Rahul on 08/09/2025,08/09/2025,38999.0,Googlepay,UPI,UPI Payment,Credit
259,NEFT/ICIC0001234/Transfer Received of INR 2642 on 25/09/2025,25/09/2025,2642.0,Neft,Income,NEFT Transfer,Credit
260,Rs. 4375 spent at Amazon on 01/09/2025. Avl Bal: Rs. 2235836,01/09/2025,4375.0,Amazon,Shopping,E-commerce,Debit
261,POS 13/09/2025 Myntra Purchase - INR 2197. Avl Bal: Rs. 2233639,13/09/2025,2197.0,Myntra,Shopping,Fashion,Debit
262,INR 3199 withdrawn from ATM at HDFC Bank on 23/09/2025,23/09/2025,3199.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
263,Rs. 3084 spent at Amazon on 13/09/2025. Avl Bal: Rs. 2227356,13/09/2025,3084.0,Amazon,Shopping,E-commerce,Debit
264,UPI/GooglePay credited Rs 50797 from Rahul on 16/09/2025,16/09/2025,50797.0,Googlepay,UPI,UPI Payment,Credit
265,Payment of Rs 1723 made to Uber on 17/09/2025 via GPay,17/09/2025,1723.0,Uber,Transport,Ride Sharing,Debit
266,Your a/c XXXXX1234 credited with INR 20777 via NEFT on 04/09/2025,04/09/2025,20777.0,Neft,Income,NEFT Transfer,Credit
267,POS 14/09/2025 Dominos Pizza - INR 691. Bal: Rs. 2296516,14/09/2025,691.0,Dominos,Food,Dining,Debit
268,Electricity Bill Payment of Rs 1705 successful via PhonePe,--,1705.0,Phonepe,Bills,Electricity,Debit
269,POS 11/09/2025 Dominos Pizza - INR 2014. Bal: Rs. 2292797,11/09/2025,2014.0,Dominos,Food,Dining,Debit
270,INR 1945 withdrawn from ATM at HDFC Bank on 15/09/2025,15/09/2025,1945.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
271,Your account credited with Rs. 4527 cashback from Flipkart,--,4527.0,Flipkart,Income,Cashback,Credit
272,POS 22/09/2025 Dominos Pizza - INR 2698. Bal: Rs. 2292681,22/09/2025,2698.0,Dominos,Food,Dining,Debit
273,Rs 2292 debited towards Rent Payment on 16/09/2025,16/09/2025,2292.0,Landlord,Bills,Rent,Debit
274,POS 01/09/2025 Myntra Purchase - INR 2991. Avl Bal: Rs. 2287398,01/09/2025,2991.0,Myntra,Shopping,Fashion,Debit
275,POS 07/09/2025 Myntra Purchase - INR 2957. Avl Bal: Rs. 2284441,07/09/2025,2957.0,Myntra,Shopping,Fashion,Debit
276,Electricity Bill Payment of Rs 2944 successful via PhonePe,--,2944.0,Phonepe,Bills,Electricity,Debit
277,Payment of Rs 3316 made to Uber on 25/09/2025 via GPay,25/09/2025,3316.0,Uber,Transport,Ride Sharing,Debit
278,Your account credited with Rs. 11919 cashback from Flipkart,--,11919.0,Flipkart,Income,Cashback,Credit
279,Rs. 1508 debited at Zomato on 12/09/2025. Bal: Rs. 2288592,12/09/2025,1508.0,Zomato,Food,Dining,Debit
280,Electricity Bill Payment of Rs 4952 successful via PhonePe,--,4952.0,Phonepe,Bills,Electricity,Debit
281,UPI payment of Rs 4882 to PAYTM successful on 23/09/2025,23/09/2025,4882.0,Paytm,UPI,UPI Payment,Debit
282,INR 2263 withdrawn from ATM at HDFC Bank on 26/09/2025,26/09/2025,2263.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
283,UPI payment of Rs 1398 to PAYTM successful on 23/09/2025,23/09/2025,1398.0,Paytm,UPI,UPI Payment,Debit
284,POS 04/09/2025 Dominos Pizza - INR 3447. Bal: Rs. 2271650,04/09/2025,3447.0,Dominos,Food,Dining,Debit
285,Electricity Bill Payment of Rs 2297 successful via PhonePe,--,2297.0,Phonepe,Bills,Electricity,Debit
286,Rs. 4904 spent at Amazon on 20/09/2025. Avl Bal: Rs. 2264449,20/09/2025,4904.0,Amazon,Shopping,E-commerce,Debit
287,Electricity Bill Payment of Rs 4050 successful via PhonePe,--,4050.0,Phonepe,Bills,Electricity,Debit
288,UPI payment of Rs 880 to PAYTM successful on 20/09/2025,20/09/2025,880.0,Paytm,UPI,UPI Payment,Debit
289,Your a/c XXXXX1234 credited with INR 12874 via NEFT on 27/09/2025,27/09/2025,12874.0,Neft,Income,NEFT Transfer,Credit
290,UPI payment of Rs 4537 to PAYTM successful on 28/09/2025,28/09/2025,4537.0,Paytm,UPI,UPI Payment,Debit
291,Rs. 1286 spent at Amazon on 01/09/2025. Avl Bal: Rs. 2266570,01/09/2025,1286.0,Amazon,Shopping,E-commerce,Debit
292,Rs. 3295 spent at Amazon on 29/09/2025. Avl Bal: Rs. 2263275,29/09/2025,3295.0,Amazon,Shopping,E-commerce,Debit
293,POS 16/09/2025 Myntra Purchase - INR 2160. Avl Bal: Rs. 2261115,16/09/2025,2160.0,Myntra,Shopping,Fashion,Debit
294,UPI payment of Rs 3728 to PAYTM successful on 21/09/2025,21/09/2025,3728.0,Paytm,UPI,UPI Payment,Debit
295,Rs. 873 spent at Amazon on 16/09/2025. Avl Bal: Rs. 2256514,16/09/2025,873.0,Amazon,Shopping,E-commerce,Debit
296,INR 3562 withdrawn from ATM at HDFC Bank on 26/09/2025,26/09/2025,3562.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
297,Electricity Bill Payment of Rs 3776 successful via PhonePe,--,3776.0,Phonepe,Bills,Electricity,Debit
298,POS 28/09/2025 Dominos Pizza - INR 187. Bal: Rs. 2248989,28/09/2025,187.0,Dominos,Food,Dining,Debit
299,UPI payment of Rs 3376 to PAYTM successful on 25/09/2025,25/09/2025,3376.0,Paytm,UPI,UPI Payment,Debit
300,Rs 4092 debited towards Rent Payment on 27/09/2025,27/09/2025,4092.0,Landlord,Bills,Rent,Debit
301,NEFT/ICIC0001234/Transfer Received of INR 55405 on 10/09/2025,10/09/2025,55405.0,Neft,Income,NEFT Transfer,Credit
302,UPI payment of Rs 264 to PAYTM successful on 10/09/2025,10/09/2025,264.0,Paytm,UPI,UPI Payment,Debit
303,POS 12/09/2025 Myntra Purchase - INR 2182. Avl Bal: Rs. 2294480,12/09/2025,2182.0,Myntra,Shopping,Fashion,Debit
304,INR 323 withdrawn from ATM at HDFC Bank on 17/09/2025,17/09/2025,323.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
305,POS 16/09/2025 Dominos Pizza - INR 1508. Bal: Rs. 2292649,16/09/2025,1508.0,Dominos,Food,Dining,Debit
306,Your a/c XXXXX1234 credited with INR 37198 via NEFT on 20/09/2025,20/09/2025,37198.0,Neft,Income,NEFT Transfer,Credit
307,Rs. 4460 spent at Amazon on 15/09/2025. Avl Bal: Rs. 2325387,15/09/2025,4460.0,Amazon,Shopping,E-commerce,Debit
308,Rs 2634 debited towards Rent Payment on 07/09/2025,07/09/2025,2634.0,Landlord,Bills,Rent,Debit
309,Electricity Bill Payment of Rs 217 successful via PhonePe,--,217.0,Phonepe,Bills,Electricity,Debit
310,POS 06/09/2025 Dominos Pizza - INR 3886. Bal: Rs. 2318650,06/09/2025,3886.0,Dominos,Food,Dining,Debit
311,Rs. 2192 debited at Zomato on 01/09/2025. Bal: Rs. 2316458,01/09/2025,2192.0,Zomato,Food,Dining,Debit
312,INR 1323 withdrawn from ATM at HDFC Bank on 04/09/2025,04/09/2025,1323.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
313,Rs. 3158 spent at Amazon on 27/09/2025. Avl Bal: Rs. 2311977,27/09/2025,3158.0,Amazon,Shopping,E-commerce,Debit
314,POS 13/09/2025 Myntra Purchase - INR 196. Avl Bal: Rs. 2311781,13/09/2025,196.0,Myntra,Shopping,Fashion,Debit
315,Your account credited with Rs. 45596 cashback from Flipkart,--,45596.0,Flipkart,Income,Cashback,Credit
316,Rs 3103 debited towards Rent Payment on 10/09/2025,10/09/2025,3103.0,Landlord,Bills,Rent,Debit
317,POS 03/09/2025 Dominos Pizza - INR 3142. Bal: Rs. 2351132,03/09/2025,3142.0,Dominos,Food,Dining,Debit
318,NEFT/ICIC0001234/Transfer Received of INR 19689 on 10/09/2025,10/09/2025,19689.0,Neft,Income,NEFT Transfer,Credit
319,INR 3244 withdrawn from ATM at HDFC Bank on 21/09/2025,21/09/2025,3244.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
320,Rs. 2549 spent at Amazon on 05/09/2025. Avl Bal: Rs. 2365028,05/09/2025,2549.0,Amazon,Shopping,E-commerce,Debit
321,Rs 923 debited towards Rent Payment on 30/09/2025,30/09/2025,923.0,Landlord,Bills,Rent,Debit
322,Electricity Bill Payment of Rs 4979 successful via PhonePe,--,4979.0,Phonepe,Bills,Electricity,Debit
323,Your salary Rs. 51254 credited to A/c XXXXX5678 on 26/09/2025,26/09/2025,51254.0,Salary,Income,Salary,Credit
324,Rs 4393 debited towards Rent Payment on 13/09/2025,13/09/2025,4393.0,Landlord,Bills,Rent,Debit
325,POS 17/09/2025 Myntra Purchase - INR 3398. Avl Bal: Rs. 2402589,17/09/2025,3398.0,Myntra,Shopping,Fashion,Debit
326,POS 20/09/2025 Myntra Purchase - INR 2038. Avl Bal: Rs. 2400551,20/09/2025,2038.0,Myntra,Shopping,Fashion,Debit
327,Payment of Rs 3854 made to Uber on 09/09/2025 via GPay,09/09/2025,3854.0,Uber,Transport,Ride Sharing,Debit
328,Your salary Rs. 44442 credited to A/c XXXXX5678 on 06/09/2025,06/09/2025,44442.0,Salary,Income,Salary,Credit
329,NEFT/ICIC0001234/Transfer Received of INR 28898 on 10/09/2025,10/09/2025,28898.0,Neft,Income,NEFT Transfer,Credit
330,UPI/GooglePay credited Rs 11070 from Rahul on 09/09/2025,09/09/2025,11070.0,Googlepay,UPI,UPI Payment,Credit
331,NEFT/ICIC0001234/Transfer Received of INR 51823 on 09/09/2025,09/09/2025,51823.0,Neft,Income,NEFT Transfer,Credit
332,POS 21/09/2025 Myntra Purchase - INR 314. Avl Bal: Rs. 2532616,21/09/2025,314.0,Myntra,Shopping,Fashion,Debit
333,Your salary Rs. 1733 credited to A/c XXXXX5678 on 17/09/2025,17/09/2025,1733.0,Salary,Income,Salary,Credit
334,UPI payment of Rs 2639 to PAYTM successful on 03/09/2025,03/09/2025,2639.0,Paytm,UPI,UPI Payment,Debit
335,Payment of Rs 2536 made to Uber on 26/09/2025 via GPay,26/09/2025,2536.0,Uber,Transport,Ride Sharing,Debit
336,Your account credited with Rs. 21674 cashback from Flipkart,--,21674.0,Flipkart,Income,Cashback,Credit
337,Payment of Rs 4768 made to Uber on 03/09/2025 via GPay,03/09/2025,4768.0,Uber,Transport,Ride Sharing,Debit
338,Rs. 534 spent at Amazon on 01/09/2025. Avl Bal: Rs. 2545546,01/09/2025,534.0,Amazon,Shopping,E-commerce,Debit
339,UPI payment of Rs 1640 to PAYTM successful on 06/09/2025,06/09/2025,1640.0,Paytm,UPI,UPI Payment,Debit
340,NEFT/ICIC0001234/Transfer Received of INR 26682 on 13/09/2025,13/09/2025,26682.0,Neft,Income,NEFT Transfer,Credit
341,UPI payment of Rs 4056 to PAYTM successful on 22/09/2025,22/09/2025,4056.0,Paytm,UPI,UPI Payment,Debit
342,UPI/GooglePay credited Rs 5880 from Rahul on 02/09/2025,02/09/2025,5880.0,Googlepay,UPI,UPI Payment,Credit
343,Your a/c XXXXX1234 credited with INR 30240 via NEFT on 17/09/2025,17/09/2025,30240.0,Neft,Income,NEFT Transfer,Credit
344,UPI payment of Rs 3910 to PAYTM successful on 11/09/2025,11/09/2025,3910.0,Paytm,UPI,UPI Payment,Debit
345,Rs 2583 debited towards Rent Payment on 16/09/2025,16/09/2025,2583.0,Landlord,Bills,Rent,Debit
346,Electricity Bill Payment of Rs 4130 successful via PhonePe,--,4130.0,Phonepe,Bills,Electricity,Debit
347,POS 24/09/2025 Myntra Purchase - INR 2150. Avl Bal: Rs. 2589879,24/09/2025,2150.0,Myntra,Shopping,Fashion,Debit
348,NEFT/ICIC0001234/Transfer Received of INR 31059 on 06/09/2025,06/09/2025,31059.0,Neft,Income,NEFT Transfer,Credit
349,UPI/GooglePay credited Rs 24878 from Rahul on 29/09/2025,29/09/2025,24878.0,Googlepay,UPI,UPI Payment,Credit
350,POS 21/09/2025 Dominos Pizza - INR 4235. Bal: Rs. 2641581,21/09/2025,4235.0,Dominos,Food,Dining,Debit
351,Your salary Rs. 26343 credited to A/c XXXXX5678 on 04/09/2025,04/09/2025,26343.0,Salary,Income,Salary,Credit
352,NEFT/ICIC0001234/Transfer Received of INR 48053 on 15/09/2025,15/09/2025,48053.0,Neft,Income,NEFT Transfer,Credit
353,Rs. 1875 debited at Zomato on 17/09/2025. Bal: Rs. 2714102,17/09/2025,1875.0,Zomato,Food,Dining,Debit
354,Your a/c XXXXX1234 credited with INR 22166 via NEFT on 20/09/2025,20/09/2025,22166.0,Neft,Income,NEFT Transfer,Credit
355,Your a/c XXXXX1234 credited with INR 49349 via NEFT on 14/09/2025,14/09/2025,49349.0,Neft,Income,NEFT Transfer,Credit
356,INR 3072 withdrawn from ATM at HDFC Bank on 08/09/2025,08/09/2025,3072.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
357,Electricity Bill Payment of Rs 1464 successful via PhonePe,--,1464.0,Phonepe,Bills,Electricity,Debit
358,Your account credited with Rs. 47155 cashback from Flipkart,--,47155.0,Flipkart,Income,Cashback,Credit
359,NEFT/ICIC0001234/Transfer Received of INR 26835 on 27/09/2025,27/09/2025,26835.0,Neft,Income,NEFT Transfer,Credit
360,POS 26/09/2025 Myntra Purchase - INR 257. Avl Bal: Rs. 2854814,26/09/2025,257.0,Myntra,Shopping,Fashion,Debit
361,POS 26/09/2025 Myntra Purchase - INR 860. Avl Bal: Rs. 2853954,26/09/2025,860.0,Myntra,Shopping,Fashion,Debit
362,Payment of Rs 2309 made to Uber on 14/09/2025 via GPay,14/09/2025,2309.0,Uber,Transport,Ride Sharing,Debit
363,Electricity Bill Payment of Rs 1685 successful via PhonePe,--,1685.0,Phonepe,Bills,Electricity,Debit
364,Your a/c XXXXX1234 credited with INR 9623 via NEFT on 23/09/2025,23/09/2025,9623.0,Neft,Income,NEFT Transfer,Credit
365,Rs 4538 debited towards Rent Payment on 25/09/2025,25/09/2025,4538.0,Landlord,Bills,Rent,Debit
366,Your a/c XXXXX1234 credited with INR 13605 via NEFT on 19/09/2025,19/09/2025,13605.0,Neft,Income,NEFT Transfer,Credit
367,Rs. 4072 spent at Amazon on 08/09/2025. Avl Bal: Rs. 2864578,08/09/2025,4072.0,Amazon,Shopping,E-commerce,Debit
368,UPI/GooglePay credited Rs 6723 from Rahul on 17/09/2025,17/09/2025,6723.0,Googlepay,UPI,UPI Payment,Credit
369,Electricity Bill Payment of Rs 4204 successful via PhonePe,--,4204.0,Phonepe,Bills,Electricity,Debit
370,Rs. 3371 spent at Amazon on 09/09/2025. Avl Bal: Rs. 2863726,09/09/2025,3371.0,Amazon,Shopping,E-commerce,Debit
371,POS 04/09/2025 Dominos Pizza - INR 3571. Bal: Rs. 2860155,04/09/2025,3571.0,Dominos,Food,Dining,Debit
372,Electricity Bill Payment of Rs 1452 successful via PhonePe,--,1452.0,Phonepe,Bills,Electricity,Debit
373,Rs 2633 debited towards Rent Payment on 23/09/2025,23/09/2025,2633.0,Landlord,Bills,Rent,Debit
374,Electricity Bill Payment of Rs 1653 successful via PhonePe,--,1653.0,Phonepe,Bills,Electricity,Debit
375,Electricity Bill Payment of Rs 1898 successful via PhonePe,--,1898.0,Phonepe,Bills,Electricity,Debit
376,UPI payment of Rs 4060 to PAYTM successful on 08/09/2025,08/09/2025,4060.0,Paytm,UPI,UPI Payment,Debit
377,Electricity Bill Payment of Rs 4790 successful via PhonePe,--,4790.0,Phonepe,Bills,Electricity,Debit
378,UPI payment of Rs 3489 to PAYTM successful on 25/09/2025,25/09/2025,3489.0,Paytm,UPI,UPI Payment,Debit
379,NEFT/ICIC0001234/Transfer Received of INR 49586 on 24/09/2025,24/09/2025,49586.0,Neft,Income,NEFT Transfer,Credit
380,Payment of Rs 4956 made to Uber on 09/09/2025 via GPay,09/09/2025,4956.0,Uber,Transport,Ride Sharing,Debit
381,Payment of Rs 3738 made to Uber on 08/09/2025 via GPay,08/09/2025,3738.0,Uber,Transport,Ride Sharing,Debit
382,Electricity Bill Payment of Rs 1791 successful via PhonePe,--,1791.0,Phonepe,Bills,Electricity,Debit
383,Electricity Bill Payment of Rs 1381 successful via PhonePe,--,1381.0,Phonepe,Bills,Electricity,Debit
384,UPI/GooglePay credited Rs 13323 from Rahul on 17/09/2025,17/09/2025,13323.0,Googlepay,UPI,UPI Payment,Credit
385,Your account credited with Rs. 21795 cashback from Flipkart,--,21795.0,Flipkart,Income,Cashback,Credit
386,POS 17/09/2025 Myntra Purchase - INR 428. Avl Bal: Rs. 2912590,17/09/2025,428.0,Myntra,Shopping,Fashion,Debit
387,NEFT/ICIC0001234/Transfer Received of INR 36042 on 27/09/2025,27/09/2025,36042.0,Neft,Income,NEFT Transfer,Credit
388,Your account credited with Rs. 22280 cashback from Flipkart,--,22280.0,Flipkart,Income,Cashback,Credit
389,UPI payment of Rs 1174 to PAYTM successful on 29/09/2025,29/09/2025,1174.0,Paytm,UPI,UPI Payment,Debit
390,UPI/GooglePay credited Rs 44301 from Rahul on 06/09/2025,06/09/2025,44301.0,Googlepay,UPI,UPI Payment,Credit
391,Your salary Rs. 2547 credited to A/c XXXXX5678 on 25/09/2025,25/09/2025,2547.0,Salary,Income,Salary,Credit
392,NEFT/ICIC0001234/Transfer Received of INR 54006 on 19/09/2025,19/09/2025,54006.0,Neft,Income,NEFT Transfer,Credit
393,Rs. 1510 spent at Amazon on 27/09/2025. Avl Bal: Rs. 3069082,27/09/2025,1510.0,Amazon,Shopping,E-commerce,Debit
394,Payment of Rs 2490 made to Uber on 09/09/2025 via GPay,09/09/2025,2490.0,Uber,Transport,Ride Sharing,Debit
395,Your salary Rs. 53753 credited to A/c XXXXX5678 on 03/09/2025,03/09/2025,53753.0,Salary,Income,Salary,Credit
396,NEFT/ICIC0001234/Transfer Received of INR 54066 on 04/09/2025,04/09/2025,54066.0,Neft,Income,NEFT Transfer,Credit
397,UPI/GooglePay credited Rs 20308 from Rahul on 20/09/2025,20/09/2025,20308.0,Googlepay,UPI,UPI Payment,Credit
398,Electricity Bill Payment of Rs 936 successful via PhonePe,--,936.0,Phonepe,Bills,Electricity,Debit
399,Your a/c XXXXX1234 credited with INR 7282 via NEFT on 29/09/2025,29/09/2025,7282.0,Neft,Income,NEFT Transfer,Credit
400,Payment of Rs 2038 made to Uber on 19/09/2025 via GPay,19/09/2025,2038.0,Uber,Transport,Ride Sharing,Debit
401,Rs. 1298 spent at Amazon on 20/09/2025. Avl Bal: Rs. 3197729,20/09/2025,1298.0,Amazon,Shopping,E-commerce,Debit
402,UPI/GooglePay credited Rs 11497 from Rahul on 12/09/2025,12/09/2025,11497.0,Googlepay,UPI,UPI Payment,Credit
403,Rs. 2187 spent at Amazon on 07/09/2025. Avl Bal: Rs. 3207039,07/09/2025,2187.0,Amazon,Shopping,E-commerce,Debit
404,Electricity Bill Payment of Rs 573 successful via PhonePe,--,573.0,Phonepe,Bills,Electricity,Debit
405,Your account credited with Rs. 3610 cashback from Flipkart,--,3610.0,Flipkart,Income,Cashback,Credit
406,Rs. 2637 debited at Zomato on 19/09/2025. Bal: Rs. 3207439,19/09/2025,2637.0,Zomato,Food,Dining,Debit
407,Payment of Rs 2876 made to Uber on 03/09/2025 via GPay,03/09/2025,2876.0,Uber,Transport,Ride Sharing,Debit
408,Rs. 1285 spent at Amazon on 16/09/2025. Avl Bal: Rs. 3203278,16/09/2025,1285.0,Amazon,Shopping,E-commerce,Debit
409,POS 09/09/2025 Myntra Purchase - INR 3458. Avl Bal: Rs. 3199820,09/09/2025,3458.0,Myntra,Shopping,Fashion,Debit
410,Rs. 2676 debited at Zomato on 23/09/2025. Bal: Rs. 3197144,23/09/2025,2676.0,Zomato,Food,Dining,Debit
411,UPI/GooglePay credited Rs 40296 from Rahul on 30/09/2025,30/09/2025,40296.0,Googlepay,UPI,UPI Payment,Credit
412,Your a/c XXXXX1234 credited with INR 52077 via NEFT on 16/09/2025,16/09/2025,52077.0,Neft,Income,NEFT Transfer,Credit
413,Rs 1419 debited towards Rent Payment on 30/09/2025,30/09/2025,1419.0,Landlord,Bills,Rent,Debit
414,Electricity Bill Payment of Rs 1403 successful via PhonePe,--,1403.0,Phonepe,Bills,Electricity,Debit
415,Rs. 716 debited at Zomato on 26/09/2025. Bal: Rs. 3285979,26/09/2025,716.0,Zomato,Food,Dining,Debit
416,Payment of Rs 917 made to Uber on 04/09/2025 via GPay,04/09/2025,917.0,Uber,Transport,Ride Sharing,Debit
417,Rs. 3219 spent at Amazon on 06/09/2025. Avl Bal: Rs. 3281843,06/09/2025,3219.0,Amazon,Shopping,E-commerce,Debit
418,Your account credited with Rs. 35113 cashback from Flipkart,--,35113.0,Flipkart,Income,Cashback,Credit
419,POS 23/09/2025 Dominos Pizza - INR 1444. Bal: Rs. 3315512,23/09/2025,1444.0,Dominos,Food,Dining,Debit
420,Payment of Rs 3356 made to Uber on 20/09/2025 via GPay,20/09/2025,3356.0,Uber,Transport,Ride Sharing,Debit
421,UPI payment of Rs 4890 to PAYTM successful on 14/09/2025,14/09/2025,4890.0,Paytm,UPI,UPI Payment,Debit
422,Electricity Bill Payment of Rs 3989 successful via PhonePe,--,3989.0,Phonepe,Bills,Electricity,Debit
423,POS 20/09/2025 Myntra Purchase - INR 2086. Avl Bal: Rs. 3301191,20/09/2025,2086.0,Myntra,Shopping,Fashion,Debit
424,POS 05/09/2025 Myntra Purchase - INR 811. Avl Bal: Rs. 3300380,05/09/2025,811.0,Myntra,Shopping,Fashion,Debit
425,Your salary Rs. 28609 credited to A/c XXXXX5678 on 04/09/2025,04/09/2025,28609.0,Salary,Income,Salary,Credit
